Debit,DATE,Description,Credit,Amount,,,,,
Citi Double Cash Back,2/17/2020,T-MOBILE STORE #4775 COLUMBIA,Electronics,$10.60 ,,,,,
Capital One Savor,2/18/2020,TM *AJR,Activities,$287.00 ,,,,,
Citi Double Cash Back,2/18/2020,MOUS PRODUCTS LTD,Electronics,$49.99 ,,,,,
Capital One Checking,2/18/2020,Transfer,Paypal,$320.08 ,,,,,
Paypal,2/18/2020,Groomsmen Gifts,Wedding,$320.08 ,,,,,
Capital One Savor,2/19/2020,COLDSTONE #22069   QPS,Snacks,$14.82 ,,,,,
Capital One Savor,2/19/2020,ANYWHERE INC,Wedding,$27.89 ,,,,,
Capital One Savor,2/19/2020,PTISKY ARENAL,Wedding,$174.72 ,,,,,
Citi Double Cash Back,2/19/2020,LAUREL FOOT AND ANKLE LAUREL,Doctor Visit,$188.05 ,,,,,
Amazon Store Card,2/20/2020,AMAZON MARKETPLACE,Clothing,$19.07 ,,,,,
Amazon Store Card,2/20/2020,AMAZON MARKETPLACE,Clothing,$9.79 ,,,,,
Amazon Store Card,2/20/2020,AMAZON MARKETPLACE,Clothing,$116.55 ,,,,,
Citi Double Cash Back,2/20/2020,APPLE.COM/US,Electronics,$740.94 ,,,,,
Citi Double Cash Back,2/20/2020,BESTBUYCOM,Electronics,$539.53 ,,,,,
Citi Double Cash Back,2/20/2020,APPLE.COM/US,Electronics,$0.99 ,,,,,
CACI,2/21/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,2/21/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,2/21/2020,PAYCHECK,Capital One Savings,$529.32 ,,,,,
CACI,2/21/2020,PAYCHECK,Capital One Savings,"$1,164.29 ",,,,,
CACI,2/21/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,2/21/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,2/21/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,2/21/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,2/21/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,2/21/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,2/21/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,2/21/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
Tower FCU Checking,2/21/2020,Payment to 407841-10L,Tower FCU Car Loan,$654.16 ,,,,,
CACI,2/21/2020,PAYCHECK,HSA,$83.33 ,,,,,
Venmo,2/21/2020,Testing money from iMessage,Activities,$1.00 ,,,,,
Volleyball,2/21/2020,Jared gave me money for Doubles,Venmo,$30.00 ,,,,,
Citi Double Cash Back,2/22/2020,TURKEY HILL #0024,Snacks,$6.67 ,,,,,
Citi Double Cash Back,2/22/2020,DUNKIN #348466,Coffee Shops,$10.67 ,,,,,
Capital One Savor,2/24/2020,DOMINO'S 4620,Dining Out,$21.32 ,,,,,
Citi Double Cash Back,2/24/2020,CHIPOTLE ONLINE,Delivery/ Carry-Out,$13.98 ,,,,,
Citi Double Cash Back,2/24/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$10.89 ,,,,,
Capital One Savor,2/26/2020,FOODSBY,Dining Out,$11.92 ,,,,,
Amazon Store Card,2/26/2020,AMAZON MARKETPLACE,Electronics,$8.47 ,,,,,
Cashback,2/27/2020,Cashback - addition,Cashback - Citi,$44.48 ,,,,,
Cashback - Citi,2/27/2020,Redeemed for Apple Stuff,Citi Double Cash Back,$438.62 ,,,,,
Cashback,2/27/2020,Cashback - addition,Cashback - Discover,$20.09 ,,,,,
Cashback,2/27/2020,Cashback - addition,Cashback - Savor,$47.28 ,,,,,
Cashback - Savor,2/27/2020,Redeemed for Apple Stuff,Capital One Savor,$308.26 ,,,,,
Delivery/ Carry-Out,2/27/2020,CHIPOTLE ONLINE,Citi Double Cash Back,$8.09 ,,,,,
Capital One Checking,2/28/2020,PAYMENT - Thank You,BofA Cash Card,$680.49 ,,,,,
Discover It Credit Card,2/28/2020,WEIS Markets,Groceries,$18.57 ,,,,,
Discover It Credit Card,2/28/2020,Aldi,Groceries,$130.86 ,,,,,
Capital One Savor,2/28/2020,Hunan Lion,Delivery/ Carry-Out,$23.59 ,,,,,
Checking Interest,2/29/2020,Monthly Interest Paid,Capital One Checking,$0.56 ,,,,,
Savings Interest,2/29/2020,Monthly Interest Paid,Capital One Savings,$21.75 ,,,,,
Chase Sapphire,2/29/2020,ST JOHN'S JEWELERS,Wedding,"$1,431.00 ",,,,,
Citi Double Cash Back,2/29/2020,STARRY NIGHT BAKERY 4108719131 MD,Activities,$58.30 ,,,,,
Discover It Credit Card,2/29/2020,Michaels,Wedding,$35.04 ,,,,,
Checking Interest,2/29/2020,DiVIDEND / Dividend,Tower FCU Checking,$0.03 ,,,,,
Savings Interest,2/29/2020,DiVIDEND / Dividend,Tower FCU Savings,$0.02 ,,,,,
Discover It Credit Card,3/1/2020,WEGMANS COLUMBIA #47,Snacks,$18.02 ,,,,,
Venmo,3/1/2020,Paid Laura for Coffee,Delivery/ Carry-Out,$3.00 ,,,,,
Volleyball,3/1/2020,Amarie paid me for P4K,Venmo,$30.00 ,,,,,
Clothing,3/2/2020,AMAZON MARKETPLACE,Amazon Store Card,$26.49 ,,,,,
Amazon Store Card,3/2/2020,AMAZON MARKETPLACE,Electronics,$18.00 ,,,,,
Amazon Store Card,3/2/2020,AMAZON MARKETPLACE,Clothing,$21.18 ,,,,,
Clothing,3/2/2020,AMAZON MARKETPLACE,Amazon Store Card,$19.07 ,,,,,
Amazon Store Card,3/2/2020,AMAZON MARKETPLACE,Wedding,$13.77 ,,,,,
Capital One Checking,3/2/2020,Royal Farms,Gas,$24.46 ,,,,,
TD Bank,3/2/2020,Edo's Loan,Discover Student Loan,$370.00 ,,,,,
Capital One Savor,3/2/2020,YFL ELLICOT CITY,Dining Out,$18.07 ,,,,,
Clothing,3/3/2020,AMAZON MARKETPLACE,Amazon Store Card,$20.13 ,,,,,
Capital One Checking,3/3/2020,BALTIMOREGAS RES,Apartment,$163.42 ,,,,,
Capital One Checking,3/4/2020,GREYSTAR-MDSHEC-,Apartment,"$1,530.63 ",,,,,
Capital One Savings,3/4/2020,Transfer,Capital One Checking,"$6,365.82 ",,,,,
Capital One Checking,3/4/2020,Transfer,SquareCash,$120.00 ,,,,,
Capital One Checking,3/4/2020,Transfer,SquareCash,$33.00 ,,,,,
Capital One Checking,3/4/2020,Transfer,SquareCash,$198.00 ,,,,,
SquareCash,3/4/2020,Paid Ward for Syds Insurance and Phone,Syds Insurance,$120.00 ,,,,,
SquareCash,3/4/2020,Paid Lior for Phone,Phone Bill,$33.00 ,,,,,
SquareCash,3/4/2020,Paid Lior for car,Car Payments,$198.00 ,,,,,
Volleyball,3/4/2020,Sam paid mef or P4k,Venmo,$30.00 ,,,,,
Clothing,3/5/2020,AMAZON MARKETPLACE,Amazon Store Card,$15.89 ,,,,,
Capital One Checking,3/5/2020,Transfer,Paypal,$150.00 ,,,,,
Paypal,3/5/2020,Paid Dalia Ben Moshe (Ketubatah.com),Wedding,$150.00 ,,,,,
Capital One Checking,3/6/2020,PAYMENT - Thank You,Amazon Store Card,$401.71 ,,,,,
Capital One Checking,3/6/2020,PAYMENT - Thank You,Capital One Savor,$729.22 ,,,,,
Capital One Checking,3/6/2020,PAYMENT - Thank You,Chase Sapphire,"$1,431.00 ",,,,,
Capital One Checking,3/6/2020,PAYMENT - Thank You,Citi Double Cash Back,"$1,436.84 ",,,,,
Capital One Checking,3/6/2020,PAYMENT - Thank You,Discover It Credit Card,$303.45 ,,,,,
Amazon Store Card,3/6/2020,AMAZON DIGITAL,Movie Rentals,$5.99 ,,,,,
Capital One Savor,3/6/2020,The Bridal Boutique,Wedding,$40.00 ,,,,,
CACI,3/6/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,3/6/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,3/6/2020,PAYCHECK,Capital One Savings,$529.32 ,,,,,
CACI,3/6/2020,PAYCHECK,Capital One Savings,"$1,164.28 ",,,,,
CACI,3/6/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,3/6/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,3/6/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,3/6/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,3/6/2020,PAYCHECK,HSA,$83.33 ,,,,,
CACI,3/6/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,3/6/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,3/6/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,3/6/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
Citi Double Cash Back,3/7/2020,Harford Vineyard LLC FOREST HILL MD,Activities,$33.39 ,,,,,
Citi Double Cash Back,3/7/2020,Royal Farms,Gas,$20.54 ,,,,,
Discover It Credit Card,3/7/2020,WEIS Markets,Groceries,$19.31 ,,,,,
Capital One Savor,3/7/2020,The Greene Turtle Sports Bar & Grille,Dining Out,$42.00 ,,,,,
Capital One Savor,3/7/2020,Oceana Grill,Dining Out,$21.00 ,,,,,
Citi Double Cash Back,3/8/2020,E-Zpass MD REBILL,Tolls/EZ-Pass,$25.00 ,,,,,
Citi Double Cash Back,3/8/2020,APPLE.COM/US,Electronics,$263.94 ,,,,,
Citi Double Cash Back,3/9/2020,SEAWORLD PARKS&ENT SEA 4075455550 FL,Activities,$14.99 ,,,,,
Capital One Savor,3/9/2020,Noodles & Company,Dining Out,$9.28 ,,,,,
Capital One Savor,3/9/2020,Vagabond Sandwich Company,Dining Out,$10.60 ,,,,,
Amazon Store Card,3/10/2020,AMAZON MARKETPLACE,Nutritional Items,$19.99 ,,,,,
Citi Double Cash Back,3/10/2020,TAXI SVC NEW ORLEANS,Public Transportation,$36.00 ,,,,,
Citi Double Cash Back,3/10/2020,UBER TRIP,Uber,$27.34 ,,,,,
Capital One Checking,3/11/2020,Transfer,SquareCash,$75.00 ,,,,,
SquareCash,3/11/2020,Paid Ward for a ticket that Syd got,Tickets/Fines,$75.00 ,,,,,
TD Bank,3/11/2020,Dept Education Student Ln,NelNet Loan,"$1,022.14 ",,,,,
Amazon Store Card,3/12/2020,AMAZON MARKETPLACE,Gifts,$42.38 ,,,,,
Discover It Credit Card,3/12/2020,WEIS Markets,Groceries,$5.00 ,,,,,
Discover It Credit Card,3/12/2020,ALDI,Groceries,$160.34 ,,,,,
Capital One Savor,3/12/2020,Concession Air Copr,Dining Out,$17.89 ,,,,,
Capital One Savor,3/12/2020,Coal Fire,Dining Out,$25.87 ,,,,,
Gifts-R,3/12/2020,Wedding gift,Capital One Checking,$100.00 ,,,,,
Gifts-R,3/12/2020,Wedding gift,Capital One Checking,$250.84 ,,,,,
Various Income,3/12/2020,Redeemed for Apple Stuff,Capital One Checking,$416.93 ,,,,,
Citi Double Cash Back,3/14/2020,Dunkin AUTO RELOAD,Coffee Shops,$50.00 ,,,,,
Citi Double Cash Back,3/14/2020,WAWA 582,Snacks,$5.29 ,,,,,
Capital One Savor,3/14/2020,Cold Stone Creamery,Snacks,$14.82 ,,,,,
Citi Double Cash Back,3/15/2020,SOUTHWEST,Public Transportation,$177.96 ,,,,,
Citi Double Cash Back,3/15/2020,THE POTTERY STOP,Activities,$47.70 ,,,,,
Citi Double Cash Back,3/15/2020,FRIENDSHIP WINE & LIQ,Alcohol/Bars,$17.39 ,,,,,
Citi Double Cash Back,3/16/2020,Spotify USA New York NY,Spotify,$9.99 ,,,,,
Capital One Savor,3/16/2020,YFL ELLICOT CITY (Jumob Jumbo Café),Delivery/ Carry-Out,$19.13 ,,,,,
Capital One Checking,3/16/2020,Royal Farms,Gas,$21.50 ,,,,,
Capital One Checking,3/16/2020,Verizon,Verizon,$57.71 ,,,,,
Discover It Credit Card,3/18/2020,ALDI,Groceries,$12.66 ,,,,,
Citi Double Cash Back,3/19/2020,CVS/PHARMACY #01909 ELKRIDGE MD,Pharmacy,$21.73 ,,,,,
Citi Double Cash Back,3/19/2020,Royal Farms,Snacks,$8.88 ,,,,,
Capital One Savor,3/19/2020,Katana Sushi,Delivery/ Carry-Out,$67.36 ,,,,,
Citi Double Cash Back,3/20/2020,JEWELERS-MUTUAL-PMNT,Auto Insurance,$25.00 ,,,,,
Citi Double Cash Back,3/20/2020,GEICO *AUTO,Auto Insurance,$260.95 ,,,,,
Citi Double Cash Back,3/20/2020,AGI *RENTERS/CONDO,Auto Insurance,$181.00 ,,,,,
Citi Double Cash Back,3/20/2020,GEICO *AUTO,Auto Insurance,$992.32 ,,,,,
Citi Double Cash Back,3/20/2020,7-ELEVEN 39135 ELKRIDGE MD,Snacks,$3.59 ,,,,,
Tower FCU Checking,3/21/2020,Paymet to 407841-10L,Tower FCU Car Loan,$654.16 ,,,,,
Amazon Store Card,3/22/2020,AMAZON MARKETPLACE,Crafts,$22.25 ,,,,,
Citi Double Cash Back,3/22/2020,QUIP NYC INC,Pharmacy,$55.00 ,,,,,
Citi Double Cash Back,3/22/2020,WEIS Markets,Groceries,$38.10 ,,,,,
Citi Double Cash Back,3/22/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$7.62 ,,,,,
Capital One Savor,3/22/2020,DOMINO'S 4620,Delivery/ Carry-Out,$40.85 ,,,,,
Capital One Savor,3/22/2020,Eggspectation,Delivery/ Carry-Out,$105.00 ,,,,,
CACI,3/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,3/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,3/22/2020,PAYCHECK,Capital One Savings,$529.32 ,,,,,
CACI,3/22/2020,PAYCHECK,Capital One Savings,"$1,164.28 ",,,,,
CACI,3/22/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,3/22/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,3/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,3/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,3/22/2020,PAYCHECK,HSA,$83.33 ,,,,,
CACI,3/22/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,3/22/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,3/22/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,3/22/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
Capital One Checking,3/23/2020,Royal Farms,Gas,$21.46 ,,,,,
Citi Double Cash Back,3/23/2020,USA*D & J ENTERPRISES,Snacks,$0.75 ,,,,,
Discover It Credit Card,3/23/2020,Aldi,Groceries,$90.15 ,,,,,
Capital One Checking,3/25/2020,PAYMENT - Thank You,Amazon Store Card,$34.46 ,,,,,
Capital One Checking,3/25/2020,PAYMENT - Thank You,Capital One Savor,$455.45 ,,,,,
Capital One Checking,3/25/2020,PAYMENT - Thank You,Citi Double Cash Back,"$2,323.72 ",,,,,
Capital One Checking,3/25/2020,PAYMENT - Thank You,Discover It Credit Card,$197.31 ,,,,,
Citi Double Cash Back,3/26/2020,WEIS MArkets,Groceries,$34.94 ,,,,,
Amazon Store Card,3/27/2020,AMAZON MARKETPLACE,Electronics,$20.62 ,,,,,
Citi Double Cash Back,3/28/2020,AZAZIE Inc,Clothing,$136.09 ,,,,,
Capital One Savor,3/28/2020,Lark Brown Liquors,Alcohol/Bars,$22.87 ,,,,,
Capital One Savor,3/28/2020,Mee Shane Restaurant,Delivery/ Carry-Out,$26.00 ,,,,,
Amazon Store Card,3/29/2020,AMAZON MARKETPLACE,Clothing,$37.09 ,,,,,
Amazon Store Card,3/29/2020,AMAZON MARKETPLACE,Clothing,$44.50 ,,,,,
Citi Double Cash Back,3/30/2020,USA*D & J ENTERPRISES,Snacks,$0.75 ,,,,,
Capital One Checking,3/30/2020,Royal Farms,Gas,21.51,,,,,
Capital One Savor,3/31/2020,BJ's Restaurant and Brewhouse,Delivery/ Carry-Out,$36.54 ,,,,,
Checking Interest,3/31/2020,Monthly Interest Paid,Capital One Checking,$1.03 ,,,,,
Savings Interest,3/31/2020,Monthly Interest Paid,Capital One Savings,$19.43 ,,,,,
Checking Interest,3/31/2020,DIVIDEND / Dividend,Tower FCU Checking,$0.03 ,,,,,
Savings Interest,3/31/2020,DiVIDEND / Dividend,Tower FCU Savings,$0.02 ,,,,,
Capital One Checking,4/1/2020,BALTIMOREGAS RES,Apartment,$150.85 ,,,,,
TD Bank,4/1/2020,TD ZELLE SENT,Discover Student Loan,$370.00 ,,,,,
Venmo,4/1/2020,Gave Kelly money for Ob's gift,Gifts,$15.00 ,,,,,
Capital One Checking,4/2/2020,PAYMENT - Thank You,BofA Cash Card,$403.74 ,,,,,
Capital One Checking,4/2/2020,GREYSTAR-MDSHEC-,Apartment,"$1,584.72 ",,,,,
Amazon Store Card,4/3/2020,AMAZON DIGITAL,Movie Rentals,$5.99 ,,,,,
Citi Double Cash Back,4/5/2020,INTUIT *TURBOTAX,Personal,$100.00 ,,,,,
Citi Double Cash Back,4/5/2020,Aldi,Groceries,$16.53 ,,,,,
Amazon Store Card,4/6/2020,AMAZON MARKETPLACE,Grooming,$28.49 ,,,,,
CACI,4/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,4/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,4/7/2020,PAYCHECK,Capital One Savings,$529.32 ,,,,,
CACI,4/7/2020,PAYCHECK,Capital One Savings,"$1,164.29 ",,,,,
CACI,4/7/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,4/7/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,4/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,4/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,4/7/2020,PAYCHECK,HSA,$83.33 ,,,,,
CACI,4/7/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,4/7/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,4/7/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,4/7/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
Various Income,4/7/2020,CHRVA Stipend,Capital One Checking,$750.00 ,,,,,
Various Income,4/10/2020,ST. of MARYLAND,Capital One Checking,$299.00 ,,,,,
Chase Sapphire,4/11/2020,BRADLEY IMAGES Inc,Wedding,"$1,995.00 ",,,,,
Citi Double Cash Back,4/11/2020,Dunkin AUTO RELOAD,Coffee Shops,$50.00 ,,,,,
Electronics,4/11/2020,Angela paid me back for TTS,Venmo,$15.00 ,,,,,
Electronics,4/11/2020,Ob paid me back for TTS,Venmo,$15.00 ,,,,,
Chase Sapphire - Syd,4/12/2020,Antrim 1844,Wedding,"$4,574.22 ",,,,,
Various Income,4/13/2020,IRS TREAS 310,Capital One Checking,$472.00 ,,,,,
Capital One Checking,4/13/2020,Transfer,SquareCash,$150.00 ,,,,,
Capital One Checking,4/13/2020,Transfer,SquareCash,$120.00 ,,,,,
SquareCash,4/13/2020,Paid Ward for Groceries,Groceries,$150.00 ,,,,,
SquareCash,4/13/2020,Paid ward for Syds Insurance and Phone,Syds Insurance,$120.00 ,,,,,
Capital One Checking,4/14/2020,Verizon,Verizon,$60.71 ,,,,,
Capital One Savings,4/14/2020,Transfer,Capital One Checking,4100.24,,,,,
Capital One Checking,4/14/2020,transfer,SquareCash,$198.00 ,,,,,
Capital One Checking,4/14/2020,transfer,SquareCash,$33.00 ,,,,,
SquareCash,4/14/2020,Paid Lior for car,Car Payments,$198.00 ,,,,,
SquareCash,4/14/2020,Paid Lior for Phone,Phone Bill,$33.00 ,,,,,
Citi Double Cash Back,4/14/2020,MD MVA Pay ,Maintenance,$187.00 ,,,,,
Citi Double Cash Back,4/14/2020,STEAMGAMES.Com,Electronics,$59.99 ,,,,,
Various Income,4/15/2020,IRS TREAS 310,Capital One Checking,"$1,200.00 ",,,,,
Capital One Checking,4/16/2020,PAYMENT - Thank You,Amazon Store Card,$136.69 ,,,,,
Capital One Checking,4/16/2020,PAYMENT - Thank You,Capital One Savor,$85.42 ,,,,,
Capital One Checking,4/16/2020,PAYMENT - Thank You,Chase Sapphire,"$1,995.00 ",,,,,
Capital One Checking,4/16/2020,PAYMENT - Thank You,Chase Sapphire - Syd,"$4,574.22 ",,,,,
Capital One Checking,4/16/2020,PAYMENT - Thank You,Citi Double Cash Back,$339.06 ,,,,,
Capital One Checking,4/16/2020,PAYMENT - Thank You,Discover It Credit Card,$90.15 ,,,,,
Citi Double Cash Back,4/16/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$42.48 ,,,,,
Citi Double Cash Back,4/16/2020,Spotify USA New York NY,Spotify,$9.99 ,,,,,
Citi Double Cash Back,4/17/2020,UBER EATS,Delivery/ Carry-Out,$41.66 ,,,,,
Citi Double Cash Back,4/20/2020,WEIS MArkets,Groceries,$41.94 ,,,,,
Amazon Store Card,4/21/2020,AMAZON MARKETPLACE,Pharmacy,$19.99 ,,,,,
AMEX Blue Cash,4/21/2020,SAFEWAY,Groceries,$72.72 ,,,,,
Citi Double Cash Back,4/21/2020,ALDI,Groceries,$136.01 ,,,,,
Tower FCU Checking,4/21/2020,Payment to 407841-10L,Tower Fcu Car Loan,$654.16 ,,,,,
CACI,4/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
